t aurelia nasutum
10.00 276.60 64.67
10.50 222.20 94.34
11.00 137.20 103.40
11.50 46.45 82.74
12.00 27.46 65.40
12.50 41.46 51.35
13.00 44.73 28.24
13.50 88.42 23.27
14.00 105.70 38.09
14.50 155.20 14.97
15.00 205.50 24.84
15.50 312.70 49.56
16.00 213.70 75.93
16.50 163.40 104.00
17.00 85.78 106.40
17.50 48.64 100.60
18.00 44.49 84.08
18.50 63.44 45.30
19.00 71.66 35.37
19.50 127.70 35.35
20.00 206.90 41.10
20.50 309.90 52.62
21.00 156.50 120.20
21.50 63.30 112.80
22.00 77.29 92.14
22.50 45.11 65.72
23.00 57.45 33.54
23.50 69.80 21.14
24.00 121.70 17.82
24.50 185.20 26.04
25.00 175.30 65.61
25.50 139.00 76.30
26.00 77.11 96.07
26.50 57.29 68.84
27.00 54.79 54.79
27.50 75.38 35.80
28.00 87.73 32.48
28.50 136.40 24.21
29.00 290.60 35.73
29.50 345.80 55.50
30.00 271.60 93.41
30.50 156.10 117.30
31.00 71.10 95.02
31.50 43.86 85.92
32.00 30.64 82.60
32.50 35.56 66.08
33.00 52.03 63.58
33.50 37.99 37.99
34.00 62.71 25.60
34.50 103.90 23.10
35.00 187.20 37.09
