t aurelia nasutum
11 180.2 55.17
11.5 162.1 69.83
12 125 57.76
12.5 105.2 51.72
13 111.2 38.79
13.5 128.4 31.03
14 113.8 28.45
14.5 129.3 16.38
15 133.6 8.621
15.5 149.1 12.93
16 182.8 18.1
16.5 200 19.83
17 225 27.59
17.5 201.7 34.48
18 176.7 57.76
18.5 150.9 42.24
19 129.3 34.48
19.5 124.1 11.21
20 132.8 13.79
20.5 161.2 15.52
21 203.4 20.69
21.5 235.3 25
22 212.9 37.93
22.5 184.5 50.86
23 150.9 53.45
23.5 137.1 51.72
24 123.3 38.79
24.5 126.7 35.34
25 131.9 25.86
25.5 156 10.34
26 184.5 15.52
26.5 240.5 25
27 256 39.66
27.5 219.8 56.9
28 220.7 45.69
28.5 193.1 22.41
29 150 9.483
29.5 161.2 6.897
30 179 8.621
30.5 196.6 10.34
31 223.3 16.38
31.5 243.1 28.45
32 254.3 43.97
