t aurelia nasutum
0 15.49 5.424
0.5 20.86 7.12
1 92.11 23.46
1.5 63.62 41.65
2 47.93 60.74
2.5 61.53 55.13
3 64.15 50.42
3.5 88.73 42.04
4 134.4 45.58
4.5 118.7 81.15
5 76.45 68.2
5.5 35.14 41.55
6 46.9 26.77
6.5 79.73 19.31
7 142.8 15.53
7.5 237.8 24.54
8 321.9 28.08
8.5 384.9 37.11
9 420.5 44.29
9.5 453.3 52.41
10 448.6 64.18
10.5 420.1 91.5
11 302.8 108.8
11.5 126 100.4
12 115.8 70.98
12.5 126.7 53.47
13 165.9 43.28
13.5 231.7 45.89
14 322.2 52.17
14.5 339.5 74.01
15 291.7 80.3
15.5 221.1 83.82
16 162.4 80.05
16.5 153.1 45.13
17 171.3 41.33
17.5 238.9 41.21
18 281.8 53.9
18.5 294.5 65.66
19 248.6 79.26
19.5 200.9 88.28
20 176 85.41
20.5 180.5 61.49
21 192.3 47.63
21.5 260.8 53.91
22 320.2 58.37
22.5 329.2 70.14
23 293.4 81.92
23.5 255.7 76.29
24 181.4 76.15
24.5 170.3 53.16
25 189.4 44.77
25.5 243.3 49.22
